Product,Manufacturer / Supplier,Generic Symbol,Density (Multiple Standards) (g/cm³),Melt Mass Flow Rate (Multiple Standards) (g/10 min),Tensile Elongation (Multiple Standards) (%),Tensile Strength (Multiple Standards) (MPa)
Enable™ 2005 Series,ExxonMobil,PE Copolymer,0.920 (ASTM D792),"0.50 (190°C/2.16 kg, ASTM D1238)","480 (at Break, MD, ASTM D882); 710 (at Break, TD, ASTM D882)","61.0 (at Break, MD, ASTM D882); 55.3 (at Break, TD, ASTM D882); 9.94 (at Yield, MD, ASTM D882); 10.9 (at Yield, TD, ASTM D882)"
Enable™ 2005CB,ExxonMobil,PE Copolymer,0.920 (ASTM D792),"0.50 (190°C/2.16 kg, ASTM D1238)","710 (at Break, TD, ASTM D882); 480 (at Break, MD, ASTM D882)","61.0 (at Break, MD, ASTM D882); 55.3 (at Break, TD, ASTM D882); 9.94 (at Yield, MD, ASTM D882); 10.9 (at Yield, TD, ASTM D882)"
Enable™ 2010 Series Blown,ExxonMobil,PE Copolymer,0.920 (ASTM D792),"1.0 (190°C/2.16 kg, ASTM D1238)","720 (at Break, TD, ASTM D882); 510 (at Break, MD, ASTM D882)","54.7 (at Break, MD, ASTM D882); 51.5 (at Break, TD, ASTM D882); 9.63 (at Yield, MD, ASTM D882); 10.3 (at Yield, TD, ASTM D882)"
Enable™ 2010CB Cast,ExxonMobil,PE Copolymer,0.920 (ASTM D792),"1.0 (190°C/2.16 kg, ASTM D1238)",,
Enable™ 2010CB Wire & Cable,ExxonMobil,PE Copolymer,0.920 (ASTM D792),"1.0 (190°C/2.16 kg, ASTM D1238)","13 (at Yield, ASTM D638); 670 (at Break, ASTM D638)","13.0 (at Yield, ASTM D638); 29.0 (at Break, ASTM D638)"
Enable™ 2010PA Wire & Cable,ExxonMobil,PE Copolymer,0.920 (ASTM D792),"1.0 (190°C/2.16 kg, ASTM D1238)","670 (at Break, ASTM D638); 13 (at Yield, ASTM D638)","13.0 (at Yield, ASTM D638); 29.0 (at Break, ASTM D638)"
Enable™ 2203MC,ExxonMobil,PE Copolymer,0.922 (ASTM D792),"0.27 (190°C/2.16 kg, ASTM D1238)","680 (at Break, TD, ASTM D882); 430 (at Break, MD, ASTM D882)","57.6 (at Break, MD, ASTM D882); 57.6 (at Break, TD, ASTM D882); 11.4 (at Yield, MD, ASTM D882); 13.3 (at Yield, TD, ASTM D882)"
Enable™ 2305 Series,ExxonMobil,PE Copolymer,0.923 (ASTM D792),"0.50 (190°C/2.16 kg, ASTM D1238)","730 (at Break, TD, ASTM D882); 480 (at Break, MD, ASTM D882)","59.0 (at Break, MD, ASTM D882); 52.5 (at Break, TD, ASTM D882); 11.2 (at Yield, MD, ASTM D882); 11.9 (at Yield, TD, ASTM D882)"
Enable™ 2703MC,ExxonMobil,PE Copolymer,0.927 (ASTM D792),"0.30 (190°C/2.16 kg, ASTM D1238)","480 (at Break, MD, ASTM D882); 750 (at Break, TD, ASTM D882)","13.2 (at Yield, MD, ASTM D882); 62.7 (at Break, MD, ASTM D882); 52.0 (at Break, TD, ASTM D882); 15.4 (at Yield, TD, ASTM D882)"
Enable™ 2705MC,ExxonMobil,PE Copolymer,0.927 (ASTM D792),"0.50 (190°C/2.16 kg, ASTM D1238)","760 (at Break, TD, ASTM D882); 520 (at Break, MD, ASTM D882)","13.1 (at Yield, MD, ASTM D882); 14.5 (at Yield, TD, ASTM D882); 49.7 (at Break, TD, ASTM D882); 57.1 (at Break, MD, ASTM D882)"
Enable™ 3305MQ,ExxonMobil,PE Copolymer,0.933 (ASTM D792),"0.50 (190°C/2.16 kg, ASTM D1238); 24 (190°C/21.6 kg, ASTM D1238)","790 (at Break, ASTM D638); 14 (at Yield, ASTM D638)","17.2 (at Yield, ASTM D638); 38.2 (at Break, ASTM D638)"
Enable™ 3505MC Blown,ExxonMobil,PE Copolymer,0.935 (ASTM D792),"0.50 (190°C/2.16 kg, ASTM D1238)","790 (at Break, TD, ASTM D882); 550 (at Break, MD, ASTM D882)","57.7 (at Break, MD, ASTM D882); 46.4 (at Break, TD, ASTM D882); 16.8 (at Yield, MD, ASTM D882); 19.6 (at Yield, TD, ASTM D882)"
Enable™ 3505MC Wire & Cable,ExxonMobil,PE Copolymer,0.935 (ASTM D792),"0.50 (190°C/2.16 kg, ASTM D1238)","790 (at Break, ASTM D638); 12 (at Yield, ASTM D638)","19.2 (at Yield, ASTM D638); 39.3 (at Break, ASTM D638)"
Enable™ 4002MC Blown,ExxonMobil,PE Copolymer,0.938 (ASTM D792),"0.25 (190°C/2.16 kg, ASTM D1238)","810 (at Break, TD, ASTM D882); 490 (at Break, MD, ASTM D882)","66.7 (at Break, MD, ASTM D882); 48.6 (at Break, TD, ASTM D882); 19.5 (at Yield, MD, ASTM D882); 24.1 (at Yield, TD, ASTM D882)"
Enable™ 4002MC Wire & Cable,ExxonMobil,PE Copolymer,0.938 (ASTM D792),"0.25 (190°C/2.16 kg, ASTM D1238)","11 (at Yield, ASTM D638); 810 (at Break, ASTM D638)","21.0 (at Yield, ASTM D638); 42.2 (at Break, ASTM D638)"
Enable™ 4009MC Blown,ExxonMobil,PE Copolymer,0.938 (ASTM D792),"0.90 (190°C/2.16 kg, ASTM D1238)","830 (at Break, TD, ASTM D882); 600 (at Break, MD, ASTM D882)","56.1 (at Break, MD, ASTM D882); 43.1 (at Break, TD, ASTM D882); 18.1 (at Yield, MD, ASTM D882); 20.5 (at Yield, TD, ASTM D882)"
Enable™ 4009MC Wire & Cable,ExxonMobil,PE Copolymer,0.938 (ASTM D792),"0.90 (190°C/2.16 kg, ASTM D1238)","11 (at Yield, ASTM D638); 840 (at Break, ASTM D638)","37.9 (at Break, ASTM D638); 20.9 (at Yield, ASTM D638)"
