grade,eta0,eta5,eta10,eta50,eta100,Ea,density,LCB
Topas 5013F-04,3.54E+04,8.77E+03,5888.075547,2075.191324,1286.593746,2.15E+04,1.02,0
HMS PP,1.25E+04,2.85E+03,2046.991011,875.9725885,594.6561524,4291,0.9,0
Queo 0201,1.54E+04,4.13E+03,3224.611548,1710.24976,1276.536386,7380,0.902,0
E2005,5.62E+04,6.74E+03,5059.429584,2523.405856,1854.387437,4428,0.92,1
E2703,2.69E+05,7.94E+03,5729.224095,2667.268821,1914.844439,5701,0.927,2
E2705,1.04E+05,6.40E+03,4739.039353,2321.314134,1699.763422,5354,0.927,2
E3505,9.39E+04,5.89E+03,4326.242823,2078.420638,1508.914416,7815,0.935,3
E4002,4.46E+05,8.82E+03,6280.847293,2836.365962,2011.022552,6121,0.94,3
E4009,2.60E+04,4.05E+03,3090.094794,1589.994333,1181.550624,7419,0.94,3
Exact3236,4026,3577.965464,3323.469606,2350.294641,1827.030503,3387,0.909,0
Exceed1018,7010,5918.670389,5326.909674,3332.70425,2424.983587,3506,0.918,0
Exceed1327,5760,4952.471238,4506.511998,2936.903529,2182.01854,3346,0.927,0
Exceed4536,1558,1460.534185,1397.335566,1107.581453,916.1047438,3096,0.936,0
XP6026,3.50E+05,9.56E+03,6961.333095,3305.735023,2394.059095,5510,0.916,1
XP8656,1.67E+04,8.92E+03,6971.255873,3237.244061,2181.1325,3745,0.916,0
XP8784,1.06E+04,6.03E+03,4832.964139,2394.960075,1656.670427,3887,0.914,0
HTA108,4.09E+04,4.39E+03,3242.937147,1556.598261,1125.706812,4803,0.961,0
HD7845,4.09E+04,4.39E+03,3242.937147,1556.598261,1125.706812,4803,0.958,0
LD150BW,2.17E+04,3.35E+03,2346.771468,969.4767449,652.9918249,7987,0.923,5
LD 150,2.17E+04,3.35E+03,2346.771468,969.4767449,652.9918249,7987,0.923,5
LL1001XV,9613,5480.346952,4517.994784,2483.389804,1816.043353,3457,0.92,0
MATIF 97LX,2892,1605.722818,1307.220957,693.0339836,498.4511265,4659,0.91,0
VSMX6102FL,5570,3983.842811,3349.651598,1759.912067,1209.737509,4415,0.862,0
HX6901,19437,11000,4840,2400,1762,4803,0.961,0
HDZ268,24793.9,5000,4000,1700,1200,4803,0.961,0
5960G1,32126,5000,3900,2000,1450,4803,0.962,0
LL8000,2892,1605.722818,1307.220957,693.0339836,498.4511265,4659,2,0
LCC80W,9613,5480.346952,4517.994784,2483.389804,1816.043353,3457,0.92,0
EXC514,11895,6190,5200,2651,1640,3887,0.926,0
Exceed1012,6590,6330,4810,3000,2150,3597,0.912,0
XP8358,17940,8520,7000,3000,2190,3934,0.918,0
